-1.9040e-02,0.1
-1.9038e-02,0.1
-1.9036e-02,0.1
-1.9034e-02,0.1
-1.9032e-02,0.1
-1.9030e-02,0.1
-1.9028e-02,0.12
-1.9026e-02,0.1
-1.9024e-02,0.1
-1.9022e-02,0.12
-1.9020e-02,0.11
-1.9018e-02,0.09
-1.9016e-02,0.12
-1.9014e-02,0.11
-1.9012e-02,0.1
-1.9010e-02,0.1
-1.9008e-02,0.13
-1.9006e-02,0.12
-1.9004e-02,0.12
-1.9002e-02,0.11
-1.9000e-02,0.12
-1.8998e-02,0.1
-1.8996e-02,0.12
-1.8994e-02,0.11
-1.8992e-02,0.13
-1.8990e-02,0.12
-1.8988e-02,0.11
-1.8986e-02,0.12
-1.8984e-02,0.1
-1.8982e-02,0.13
-1.8980e-02,0.12
-1.8978e-02,0.14
-1.8976e-02,0.13
-1.8974e-02,0.11
-1.8972e-02,0.13
-1.8970e-02,0.13
-1.8968e-02,0.11
-1.8966e-02,0.13
-1.8964e-02,0.12
-1.8962e-02,0.12
-1.8960e-02,0.15
-1.8958e-02,0.14
-1.8956e-02,0.14
-1.8954e-02,0.14
-1.8952e-02,0.12
-1.8950e-02,0.13
-1.8948e-02,0.13
-1.8946e-02,0.15
-1.8944e-02,0.13
-1.8942e-02,0.14
-1.8940e-02,0.14
-1.8938e-02,0.13
-1.8936e-02,0.13
-1.8934e-02,0.15
-1.8932e-02,0.15
-1.8930e-02,0.13
-1.8928e-02,0.14
-1.8926e-02,0.14
-1.8924e-02,0.14
-1.8922e-02,0.14
-1.8920e-02,0.15
-1.8918e-02,0.12
-1.8916e-02,0.16
-1.8914e-02,0.16
-1.8912e-02,0.14
-1.8910e-02,0.14
-1.8908e-02,0.17
-1.8906e-02,0.14
-1.8904e-02,0.14
-1.8902e-02,0.14
-1.8900e-02,0.16
-1.8898e-02,0.14
-1.8896e-02,0.16
-1.8894e-02,0.13
-1.8892e-02,0.15
-1.8890e-02,0.15
-1.8888e-02,0.16
-1.8886e-02,0.15
-1.8884e-02,0.14
-1.8882e-02,0.15
-1.8880e-02,0.15
-1.8878e-02,0.14
-1.8876e-02,0.15
-1.8874e-02,0.16
